Cant_muest,ID_CIAT,ID,Cultivar,Location,Fecha,Easting,Northing,Elevation,Longitude,Latitude,Neutral_Detergent,Acid_Detergent,dry_matter,Dry_Weight,Fresh_Weight,Grass_Height,NDVI__handheld,DM_g_m2,Crude_Protein,In_vitro_digestibility,Ash,Blue,Green,Red,NIR,NIR/B,R/B,R/G,R/NIR,G/B,G/R,G/NIR,B/G,B/R,B/NIR,NDVI,LAI,EVI,MSAVI2,GRVI,RVI,GNDVI,SAVI,GOSAVI,DVI,VARI,RDVI,NLI,MSR,GLI,IPVI,coords.x1,coords.x2
49,F18-1134,4,Toledo,Atoca,9/19/2018,1001260.17,718727.393,623.556,-77.03582494,2.03091686,78.5,46.72,94.17,94.5,211.2,85,0.37,355.9626,2.54,39.31,8.71,986,1169,1380,2734,2.772819519,1.399594307,1.180496097,0.504754961,1.185598373,0.84710145,0.427578628,0.84345597,0.714492738,0.360643744,0.32912007,0.547232509,0.183867469,0.495245069,2.338751078,1.981159449,0.400973618,0.493620127,0.400957197,1354,-0.08277756,0.360643744,0.999630809,0.407536656,-0.005952381,0.66456002,1001260.17,718727.393
50,F18-1135,5,Toledo,Atoca,9/19/2018,1001239.594,718725.568,623.38,-77.03589153,2.030910917,77.21,43.79,93.78,50.4,104.9,74,0.35,189.06048,2.92,45.2,8.47,954,1133,1309,2854,2.991614342,1.3721174,1.155339837,0.458654523,1.187631011,0.865546227,0.396986693,0.842012346,0.728800595,0.334267706,0.371126592,0.664273024,0.216216967,0.541345775,2.518976212,2.180290222,0.431652874,0.556623042,0.431635559,1545,-0.072072074,0.334267706,0.999678612,0.47658062,0.000662398,0.685563266,1001239.594,718725.568
51,F18-1136,1,Angleton,Pinar del rio,9/19/2018,994779.308,708299.658,643.193,-77.07279603,1.572967164,72.55,41.55,93.82,49.5,81.2,85,0.29,185.7636,4.19,41.31,13.14,1019,1221,1425,2562,2.514229536,1.398429871,1.167076111,0.556206107,1.198233604,0.856842101,0.476580799,0.834561825,0.715087712,0.397736132,0.285176814,0.430327922,0.151555538,0.443794519,2.098280191,1.797894716,0.354480565,0.427711606,0.354465574,1137,-0.077097505,0.397736132,0.999565899,0.340855956,-0.000409333,0.642588437,994779.308,708299.658
52,F18-1137,2,Angleton,Pinar del rio,9/19/2018,994769.048,708290.357,643.31,-77.07282923,1.57293688,90.09,53.69,78.34,11.4,17.8,45,0.21,35.72304,4.53,48.92,16.33,955,1142,1282,2392,2.504712105,1.342408419,1.122591972,0.535953164,1.19581151,0.890795648,0.477424741,0.836252213,0.74492979,0.399247497,0.30212304,0.464110464,0.160892889,0.464047104,2.094570875,1.865834594,0.353706837,0.453122884,0.353690833,1110,-0.057755776,0.399247497,0.999551952,0.365955591,0.01039593,0.651061535,994769.048,708290.357
53,F18-1138,3,Angleton,Pinar del rio,9/19/2018,994767.582,708277.699,643.286,-77.07283397,1.572895669,71.18,42.1,93.58,56.4,88.5,50,0.31,211.11648,4.43,39.45,14.41,968,1147,1319,2497,2.579545498,1.362603307,1.149956465,0.528233886,1.184917331,0.86959821,0.459351212,0.843940735,0.733889282,0.387665212,0.308700204,0.484931797,0.166647807,0.471766293,2.176983356,1.893100858,0.370472014,0.462989658,0.370455742,1178,-0.06974858,0.387665212,0.999576986,0.37590003,0.001528051,0.654350102,994767.582,708277.699
54,F18-1139,4,Angleton,Pinar del rio,9/19/2018,994757.526,708265.997,642.95,-77.07286651,1.572857572,77.1,46.92,93.81,36.4,48.9,60,0.25,136.58736,2.69,39.37,11.59,1007,1167,1333,2455,2.437934399,1.323733807,1.142245054,0.542973518,1.158887744,0.87546885,0.47535643,0.862896323,0.755438864,0.410183311,0.296198517,0.445601493,0.155777082,0.457026839,2.103684664,1.841710448,0.355604649,0.44423914,0.355588943,1122,-0.066399999,0.410183311,0.999557734,0.357096314,-0.001283697,0.648099244,994757.526,708265.997
55,F18-1140,5,Angleton,Pinar del rio,9/19/2018,994756.706,708291.153,642.779,-77.07286916,1.572939471,71.45,40.6,93.38,25.5,46.7,40,0.31,95.2476,4.99,44.44,13.33,891,1020,1162,2174,2.439954996,1.304152608,1.139215708,0.534498632,1.144781113,0.877796888,0.46918124,0.873529434,0.76678139,0.409843594,0.303357303,0.460258335,0.159828171,0.465501666,2.131372452,1.870912194,0.361302435,0.454967767,0.361284345,1012,-0.065077908,0.409843594,0.999508381,0.367812932,-0.003176154,0.651678681,994756.706,708291.153
56,F18-1141,1,B.decumbes,Pinar del rio,9/19/2018,994777.469,708231.75,642.889,-77.07280197,1.572746076,74.55,42.36,93.8,71.7,163.7,60,0.5,269.0184,5.06,38.73,9.01,1037,1192,1380,2543,2.452266216,1.33076179,1.157718062,0.542666137,1.149469614,0.863768101,0.468737721,0.869966447,0.751449287,0.407786071,0.296456784,0.447510034,0.156304598,0.45733422,2.133389235,1.842753649,0.361713529,0.444628507,0.361698031,1163,-0.073094867,0.407786071,0.99957329,0.357480645,-0.006873568,0.648228407,994777.469,708231.75
57,F18-1142,2,B.decumbes,Pinar del rio,9/19/2018,994766.39,708229.422,642.369,-77.07283782,1.572738496,72.9,39.67,94.27,100.2,221.5,50,0.43,377.83416,2.86,46.77,10.2,1036,1192,1425,2667,2.574324369,1.375482678,1.195469856,0.534308195,1.150579095,0.836491227,0.446944118,0.869127512,0.727017522,0.388451457,0.30351907,0.473631054,0.16352433,0.465692014,2.237416029,1.871578932,0.382223368,0.455222964,0.382207543,1242,-0.089033246,0.388451457,0.999599397,0.368056625,-0.015892673,0.651759505,994766.39,708229.422
58,F18-1143,3,B.decumbes,Pinar del rio,9/19/2018,994752.041,708224.607,642.484,-77.07288425,1.572722816,73.36,38.62,94.03,31.6,56.8,60,0.22,118.85392,2.86,47.79,8.52,980,1221,1434,2691,2.745918274,1.4632653,1.174447179,0.532887399,1.245918393,0.85146445,0.453734666,0.802620828,0.683403075,0.364176899,0.304727286,0.491758913,0.1685348,0.467112809,2.203931093,1.876569033,0.375766873,0.457035512,0.375751525,1257,-0.080225989,0.364176899,0.999604046,0.369879186,0.005766063,0.652363658,994752.041,708224.607
59,F18-1144,4,B.decumbes,Pinar del rio,9/19/2018,994743.093,708212.97,642.471,-77.07291321,1.57268493,72.05,39.24,94.32,76,171.3,65,0.3,286.7328,3.63,44.39,8.71,1022,1238,1496,2583,2.527397156,1.463796496,1.208400607,0.579171479,1.211350322,0.8275401,0.479287654,0.825525045,0.68315506,0.395663947,0.266486883,0.393412977,0.1413524,0.420829713,2.086429834,1.726604223,0.352002084,0.39968133,0.351987362,1087,-0.094367228,0.395663947,0.999551654,0.31400314,-0.008410092,0.633243442,994743.093,708212.97
60,F18-1145,5,B.decumbes,Pinar del rio,9/19/2018,994732.19,708204.415,642.92,-77.07294848,1.572657076,68.1,35.67,94.86,90.2,228.9,65,0.44,342.25488,3.6,47.46,9.36,1013,1227,1435,2510,2.477788687,1.416584373,1.169519186,0.57171315,1.211253643,0.855052292,0.488844633,0.825590849,0.705923319,0.403585643,0.272496819,0.40145269,0.143574536,0.428287864,2.045639753,1.749128938,0.343323529,0.408693463,0.343308836,1075,-0.078136742,0.403585643,0.999544561,0.322546363,0.00122399,0.63624841,994732.19,708204.415
61,F18-1146,1,B.humidicola,Pinar del rio,9/19/2018,994787.375,708294.505,641.962,-77.07276992,1.572950387,75.24,40.15,93.68,24.4,48.3,35,0.36,91.43168,2.78,49.42,11.12,947,1144,1347,2400,2.534318924,1.422386527,1.177447557,0.561249971,1.208025336,0.849294722,0.476666659,0.827797174,0.703043818,0.394583344,0.281024814,0.423604459,0.149697199,0.438750774,2.09790206,1.781737208,0.354401797,0.421480983,0.354385823,1053,-0.081493378,0.394583344,0.999532402,0.33481729,-0.001309472,0.640512407,994787.375,708294.505
62,F18-1147,2,B.humidicola,Pinar del rio,9/19/2018,994784.716,708284.162,642.14,-77.07277853,1.572916714,72.33,39.43,93.99,10.1,26.9,20,0.34,37.97196,3.04,45.35,13.77,935,1115,1318,2327,2.488770008,1.409625649,1.182062745,0.566394508,1.192513347,0.845978737,0.479157716,0.838565052,0.709408224,0.401804894,0.27681756,0.411112994,0.1462446,0.433606446,2.086995602,1.765553832,0.352120847,0.415169388,0.352104515,1009,-0.083436087,0.401804894,0.999513328,0.328741461,-0.005130493,0.63840878,994784.716,708284.162
63,F18-1148,3,B.humidicola,Pinar del rio,9/19/2018,994789.215,708269.221,642.29,-77.07276397,1.572868069,79.79,43.7,93.53,12,17.1,20,0.18,44.8944,2.51,45.88,10.69,907,1066,1248,2358,2.599779606,1.375964761,1.170731664,0.529262066,1.175303221,0.854166687,0.452078044,0.850844264,0.726762831,0.384647995,0.30782029,0.485018164,0.166671678,0.470738083,2.212007523,1.889423132,0.377336442,0.461666435,0.377318829,1110,-0.078651689,0.384647995,0.999551177,0.37456286,-0.005365057,0.65391016,994789.215,708269.221
64,F18-1149,4,B.humidicola,Pinar del rio,9/19/2018,994798.258,708261.86,642.738,-77.07273471,1.572844107,74.9,43.74,94.23,38.8,62.6,30,0.3,146.24496,1.86,39.13,19.8,917,1111,1293,2519,2.747001171,1.410032749,1.163816333,0.513298929,1.211559415,0.859242082,0.441048026,0.825382531,0.709203422,0.364033341,0.321615964,0.52839148,0.178659901,0.486701101,2.267326832,1.948182464,0.387878776,0.482360661,0.387861699,1226,-0.075707152,0.364033341,0.999592543,0.395773083,0.002707581,0.660807967,994798.258,708261.86
65,F18-1150,5,B.humidicola,Pinar del rio,9/19/2018,994805.892,708252.308,642.611,-77.07271,1.572813008,69.88,37.15,93.91,38,98.2,35,0.47,142.7432,3.18,49.52,14.09,922,1139,1321,2629,2.851409912,1.432754874,1.159789324,0.502472401,1.235357881,0.862225592,0.433244586,0.809481978,0.697956085,0.350703686,0.331139237,0.559171319,0.187167302,0.49752757,2.308165073,1.990158916,0.395435244,0.496645987,0.395418465,1308,-0.073983736,0.350703686,0.999617815,0.410729945,0.00774165,0.665569603,994805.892,708252.308
