Cant_muest,ID_CIAT,ID,Cultivar,Location,Fecha,Easting,Northing,Elevation,Longitude,Latitude,Neutral_Detergent,Acid_Detergent,dry_matter,Dry_Weight,Fresh_Weight,Grass_Height,NDVI__handheld,DM_g_m2,Crude_Protein,In_vitro_digestibility,Ash,Blue,Green,Red,NIR,NIR/B,R/B,R/G,R/NIR,G/B,G/R,G/NIR,B/G,B/R,B/NIR,NDVI,LAI,EVI,MSAVI2,GRVI,RVI,GNDVI,SAVI,GOSAVI,DVI,VARI,RDVI,NLI,MSR,GLI,IPVI,coords.x1,coords.x2
11,F18-1096,1,Toledo,California,9/18/2018,996251.727,716977.968,599.663,-77.06403213,2.021221164,61.9,29.09,91.4,9.5,32.7,20,0.58,34.732,14.4,69.47,9.03,904,1134,1331,3299,3.649336338,1.472345114,1.173721313,0.403455585,1.25442481,0.851990998,0.343740523,0.797178149,0.679188609,0.27402243,0.425053984,0.867307305,0.272334784,0.596545815,2.909171104,2.478587627,0.488382578,0.637512147,0.488364935,1968,-0.079918861,0.27402243,0.999755442,0.574353039,0.007328448,0.712526977,996251.727,716977.968
12,F18-1097,2,Toledo,California,9/18/2018,996239.501,716976.581,600.757,-77.06407169,2.021216647,76.46,47.27,92.49,94.6,213.2,100,0.51,349.98216,3,46.27,6.57,909,1109,1282,3509,3.860285997,1.410341024,1.155996442,0.365346253,1.220021963,0.865054607,0.31604445,0.819657326,0.70904839,0.259048164,0.464829892,0.999856472,0.308970839,0.63465631,3.164111853,2.73712945,0.519705474,0.697172105,0.519687474,2227,-0.072354667,0.259048164,0.999791801,0.65442723,0.006123838,0.732414961,996239.501,716976.581
13,F18-1098,3,Toledo,California,9/18/2018,996229.777,716976.791,599.939,-77.06410316,2.021217332,*,*,91.33,3.7,16.6,20,0.53,13.51684,10.72,69.63,10.67,700,929,993,3522,5.031428337,1.418571472,1.068891287,0.28194207,1.327142835,0.935548842,0.26377058,0.753498375,0.704934537,0.198750705,0.560132861,1.43483448,0.429196924,0.718064666,3.79117322,3.546827793,0.582565725,0.840106308,0.582544744,2529,-0.033298649,0.198750705,0.999839902,0.883302331,0.046465784,0.780066431,996229.777,716976.791
14,F18-1099,4,Toledo,California,9/18/2018,996216.378,716972.155,599.842,-77.06414652,2.021202235,68.87,39.72,92.17,9.6,24.7,20,0.42,35.39328,5.33,53.71,7.83,778,986,1138,3080,3.95886898,1.462724924,1.154158235,0.36948052,1.267352223,0.866432309,0.320129871,0.789046645,0.68365556,0.252597392,0.460407764,0.997687936,0.308371454,0.630522251,3.123732328,2.706502676,0.515002489,0.690529823,0.514982224,1942,-0.071563087,0.252597392,0.999760091,0.645145178,0.014403292,0.730203867,996216.378,716972.155
15,F18-1100,5,Toledo,California,9/18/2018,996197.577,716966.118,599.174,-77.06420736,2.021182578,67.15,36.01,91.75,6.1,21.7,30,0.56,22.387,8.38,60.56,10.12,926,1136,1299,3416,3.688984871,1.402807832,1.143485904,0.380269319,1.226781845,0.874518871,0.332552701,0.815140843,0.712856054,0.271077275,0.44899258,0.936652184,0.291501433,0.619732797,3.00704217,2.629715204,0.500878751,0.673417449,0.500861108,2117,-0.066940449,0.271077275,0.999777377,0.621639669,0.010451412,0.724496305,996197.577,716966.118
16,F18-1101,1,Cayman,California,9/18/2018,996266.127,716947.912,597.703,-77.06398553,2.021123313,67.54,34.9,91.71,49.1,130.8,40,0.52,180.11844,4.1,56.65,11.19,865,1088,1213,2987,3.453179121,1.40231216,1.114889741,0.406093061,1.25780344,0.896949708,0.364245057,0.795036793,0.713108003,0.289588213,0.422380954,0.839759827,0.264720798,0.593908429,2.745404482,2.462489605,0.466012269,0.633495986,0.465993971,1774,-0.054324206,0.289588213,0.999728143,0.569232225,0.023037141,0.711190462,996266.127,716947.912
17,F18-1102,2,Cayman,California,9/18/2018,996267.455,716938.9,598.085,-77.06398123,2.021093971,66.9,35,91.49,35.5,90.2,40,0.49,129.9158,4.02,54.17,12.07,843,1096,1215,2976,3.530249119,1.44128108,1.108576655,0.408266127,1.300118566,0.902057588,0.368279576,0.769160569,0.693827152,0.283266127,0.420186102,0.842140198,0.265378714,0.591735303,2.715328455,2.449382782,0.461689591,0.630203962,0.461671472,1761,-0.051492859,0.283266127,0.99972564,0.565050364,0.031529412,0.710093081,996267.455,716938.9
18,F18-1103,3,Cayman,California,9/18/2018,996273.136,716926.931,598.279,-77.06396285,2.021055005,69.59,37.23,91.46,65.7,184.5,37,0.5,240.35688,4.2,51.79,10.67,791,996,1092,3179,4.018963337,1.380530953,1.096385598,0.34350425,1.259165645,0.912087917,0.313306063,0.794176698,0.724358976,0.248820379,0.488644332,1.087076068,0.333077967,0.656499624,3.191766977,2.911172152,0.522874236,0.732880712,0.522854209,2087,-0.045977011,0.248820379,0.999783933,0.70621568,0.028129032,0.744322181,996273.136,716926.931
19,F18-1104,4,Cayman,California,9/18/2018,996290.329,716917.473,596.703,-77.06390721,2.021024214,62.41,27.89,91.66,13.3,44.5,35,0.64,48.76312,9.33,65.11,10.24,827,1060,1163,3233,3.909310818,1.406287789,1.097169757,0.3597278,1.281741261,0.911435962,0.327868849,0.78018868,0.711091995,0.255799562,0.470882624,1.022647023,0.315270036,0.64027524,3.049999952,2.77987957,0.506172836,0.706243575,0.506153941,2070,-0.046333782,0.255799562,0.999777496,0.667297065,0.03163017,0.735441327,996290.329,716917.473
20,F18-1105,5,Cayman,California,9/18/2018,996307.942,716909.587,598.019,-77.06385022,2.020998541,62.68,30.59,91.37,18.9,62.6,25,0.57,69.07572,7.72,60.65,11.48,750,962,1057,3172,4.229333401,1.409333348,1.098752618,0.33322826,1.282666683,0.910122991,0.303278685,0.779625773,0.709555328,0.236443877,0.500118256,1.145551801,0.349240422,0.666776121,3.297297239,3.000946045,0.534591198,0.750088692,0.534570456,2115,-0.047052998,0.236443877,0.999789894,0.732323885,0.031358887,0.750059128,996307.942,716909.587
